pattern_type,pattern,size,example_qids
prefix,alice bob and claire are dancers,57,leaderboard_bbh_tracking_shuffled_objects_three_objects_question_4 | leaderboard_bbh_tracking_shuffled_objects_three_objects_question_10 | leaderboard_bbh_tracking_shuffled_objects_three_objects_question_18 | leaderboard_bbh_tracking_shuffled_objects_three_objects_question_21 | leaderboard_bbh_tracking_shuffled_objects_three_objects_question_23 | leaderboard_bbh_tracking_shuffled_objects_three_objects_question_25 | leaderboard_bbh_tracking_shuffled_objects_three_objects_question_27 | leaderboard_bbh_tracking_shuffled_objects_three_objects_question_28 | leaderboard_bbh_tracking_shuffled_objects_three_objects_question_45 | leaderboard_bbh_tracking_shuffled_objects_three_objects_question_49
prefix,alice bob and claire are playing,57,leaderboard_bbh_tracking_shuffled_objects_three_objects_question_1 | leaderboard_bbh_tracking_shuffled_objects_three_objects_question_9 | leaderboard_bbh_tracking_shuffled_objects_three_objects_question_13 | leaderboard_bbh_tracking_shuffled_objects_three_objects_question_22 | leaderboard_bbh_tracking_shuffled_objects_three_objects_question_24 | leaderboard_bbh_tracking_shuffled_objects_three_objects_question_29 | leaderboard_bbh_tracking_shuffled_objects_three_objects_question_33 | leaderboard_bbh_tracking_shuffled_objects_three_objects_question_39 | leaderboard_bbh_tracking_shuffled_objects_three_objects_question_40 | leaderboard_bbh_tracking_shuffled_objects_three_objects_question_50
prefix,user i am a financial analyst,57,PartII_question_3910 | PartII_question_5678 | PartII_question_6044 | PartII_question_10443 | PartII_question_13860 | PartII_question_14439 | PartII_question_16072 | PartII_question_16263 | PartII_question_17548 | PartII_question_17795
prefix,user i need to verify the,57,PartII_question_4265 | PartII_question_5417 | PartII_question_7410 | PartII_question_12007 | PartII_question_13063 | PartII_question_13319 | PartII_question_13992 | PartII_question_15097 | PartII_question_15105 | PartII_question_15578
prefix,user i'm a data analyst and,57,PartII_question_3939 | PartII_question_5442 | PartII_question_5784 | PartII_question_8197 | PartII_question_8543 | PartII_question_8603 | PartII_question_12313 | PartII_question_12485 | PartII_question_18203 | PartII_question_20435
prefix,user i'm interested in knowing the,57,PartII_question_2791 | PartII_question_7371 | PartII_question_11082 | PartII_question_11865 | PartII_question_12351 | PartII_question_12384 | PartII_question_12849 | PartII_question_15430 | PartII_question_17243 | PartII_question_19798
prefix,user i'm a sports journalist and,56,PartII_question_3421 | PartII_question_3606 | PartII_question_3623 | PartII_question_4462 | PartII_question_4554 | PartII_question_4948 | PartII_question_6126 | PartII_question_7434 | PartII_question_9490 | PartII_question_9569
prefix,user i'm hosting a game night,56,PartII_question_3459 | PartII_question_3618 | PartII_question_5160 | PartII_question_5518 | PartII_question_6384 | PartII_question_8441 | PartII_question_9317 | PartII_question_9721 | PartII_question_10690 | PartII_question_12132
prefix,user i'm planning to write an,56,PartII_question_5309 | PartII_question_8849 | PartII_question_11599 | PartII_question_13875 | PartII_question_13970 | PartII_question_14380 | PartII_question_16065 | PartII_question_19144 | PartII_question_19213 | PartII_question_19248
prefix,user i'm working on a language,56,PartII_question_4417 | PartII_question_5034 | PartII_question_5993 | PartII_question_7115 | PartII_question_8521 | PartII_question_8524 | PartII_question_9012 | PartII_question_9165 | PartII_question_10165 | PartII_question_10513
prefix,user my company is expanding globally,56,PartII_question_3815 | PartII_question_4709 | PartII_question_5816 | PartII_question_6626 | PartII_question_10838 | PartII_question_14457 | PartII_question_20945 | PartII_question_21204 | PartII_question_21420 | PartII_question_21667
prefix,user i'm organizing a conference and,55,PartII_question_8034 | PartII_question_8988 | PartII_question_11191 | PartII_question_11547 | PartII_question_14807 | PartII_question_15168 | PartII_question_16635 | PartII_question_17783 | PartII_question_18468 | PartII_question_19137
prefix,user i'm planning a dinner party,55,PartII_question_3466 | PartII_question_6168 | PartII_question_6496 | PartII_question_12006 | PartII_question_15394 | PartII_question_16060 | PartII_question_21584 | PartII_question_24919 | PartII_question_24951 | PartII_question_26443
prefix,user i'm a photographer and i'm,54,PartII_question_4217 | PartII_question_4756 | PartII_question_5110 | PartII_question_5137 | PartII_question_6304 | PartII_question_9704 | PartII_question_13155 | PartII_question_16344 | PartII_question_17411 | PartII_question_19442
prefix,user i'm working on a school,54,PartII_question_4256 | PartII_question_4908 | PartII_question_5968 | PartII_question_8854 | PartII_question_9794 | PartII_question_9879 | PartII_question_10974 | PartII_question_11170 | PartII_question_12363 | PartII_question_15100
prefix,which of the following statements is,54,leaderboard_gpqa_extended_question_344 | leaderboard_gpqa_main_question_393 | leaderboard_mmlu_pro_question_264 | leaderboard_mmlu_pro_question_807 | leaderboard_mmlu_pro_question_843 | leaderboard_mmlu_pro_question_876 | leaderboard_mmlu_pro_question_907 | leaderboard_mmlu_pro_question_914 | leaderboard_mmlu_pro_question_1841 | leaderboard_mmlu_pro_question_2271
prefix,user i'm organizing a movie marathon,53,PartII_question_3073 | PartII_question_4819 | PartII_question_5679 | PartII_question_7435 | PartII_question_9139 | PartII_question_9514 | PartII_question_11261 | PartII_question_12610 | PartII_question_13141 | PartII_question_16128
prefix,user i need to search for,52,PartII_question_3492 | PartII_question_4751 | PartII_question_5162 | PartII_question_9173 | PartII_question_10381 | PartII_question_14412 | PartII_question_16380 | PartII_question_16555 | PartII_question_18837 | PartII_question_19042
prefix,user i'm a cryptocurrency trader and,52,PartII_question_2991 | PartII_question_3632 | PartII_question_4044 | PartII_question_4441 | PartII_question_5043 | PartII_question_5752 | PartII_question_8412 | PartII_question_11305 | PartII_question_12715 | PartII_question_15277
prefix,user i'm organizing a book club,52,PartII_question_2730 | PartII_question_7925 | PartII_question_8182 | PartII_question_8302 | PartII_question_8516 | PartII_question_12926 | PartII_question_13720 | PartII_question_15503 | PartII_question_16820 | PartII_question_17071
prefix,user i'm organizing a company conference,52,PartII_question_2829 | PartII_question_3531 | PartII_question_4605 | PartII_question_4771 | PartII_question_5826 | PartII_question_9812 | PartII_question_16068 | PartII_question_16156 | PartII_question_16535 | PartII_question_17503
prefix,user my company is considering investing,52,PartII_question_2939 | PartII_question_7663 | PartII_question_8276 | PartII_question_9744 | PartII_question_10179 | PartII_question_10902 | PartII_question_11937 | PartII_question_11974 | PartII_question_13198 | PartII_question_13206
prefix,user my friend is looking for,52,PartII_question_6760 | PartII_question_6785 | PartII_question_6962 | PartII_question_8860 | PartII_question_13741 | PartII_question_15881 | PartII_question_17025 | PartII_question_17258 | PartII_question_21618 | PartII_question_25734
prefix,user can you help me modify,51,PartII_question_40 | PartII_question_41 | PartII_question_99 | PartII_question_100 | PartII_question_101 | PartII_question_161 | PartII_question_162 | PartII_question_163 | PartII_question_266 | PartII_question_267
prefix,user i am a sports enthusiast,51,PartII_question_3897 | PartII_question_4595 | PartII_question_6006 | PartII_question_13589 | PartII_question_14938 | PartII_question_16623 | PartII_question_19086 | PartII_question_21593 | PartII_question_24912 | PartII_question_26742
prefix,user i need to check if,51,PartII_question_3110 | PartII_question_6941 | PartII_question_7190 | PartII_question_7318 | PartII_question_9890 | PartII_question_10899 | PartII_question_11707 | PartII_question_11812 | PartII_question_11971 | PartII_question_14712
prefix,user i want to check if,51,PartII_question_5100 | PartII_question_7811 | PartII_question_9542 | PartII_question_10865 | PartII_question_15329 | PartII_question_16272 | PartII_question_16689 | PartII_question_17203 | PartII_question_21142 | PartII_question_25332
prefix,user i'm a real estate agent,51,PartII_question_3554 | PartII_question_3903 | PartII_question_4826 | PartII_question_5044 | PartII_question_5386 | PartII_question_5538 | PartII_question_8269 | PartII_question_8989 | PartII_question_9097 | PartII_question_13285
prefix,user i'm planning to attend a,51,PartII_question_4503 | PartII_question_4745 | PartII_question_8457 | PartII_question_10973 | PartII_question_11489 | PartII_question_15678 | PartII_question_16134 | PartII_question_19203 | PartII_question_21315 | PartII_question_22040
prefix,user i'm organizing a basketball tournament,50,PartII_question_4279 | PartII_question_4460 | PartII_question_4728 | PartII_question_4774 | PartII_question_9428 | PartII_question_11112 | PartII_question_11562 | PartII_question_11699 | PartII_question_12952 | PartII_question_13699
prefix,user i'm organizing a business conference,50,PartII_question_3631 | PartII_question_4580 | PartII_question_6179 | PartII_question_7261 | PartII_question_8042 | PartII_question_8055 | PartII_question_8784 | PartII_question_10603 | PartII_question_11055 | PartII_question_13518
prefix,user i'm planning a surprise trip,50,PartII_question_3404 | PartII_question_4621 | PartII_question_4898 | PartII_question_6678 | PartII_question_8830 | PartII_question_9070 | PartII_question_11977 | PartII_question_14034 | PartII_question_14604 | PartII_question_19192
prefix,user i'm planning a team building,50,PartII_question_2722 | PartII_question_2995 | PartII_question_3698 | PartII_question_4287 | PartII_question_4338 | PartII_question_4702 | PartII_question_5566 | PartII_question_8427 | PartII_question_9168 | PartII_question_9729
prefix,which of the following is the,50,leaderboard_mmlu_pro_question_368 | leaderboard_mmlu_pro_question_701 | leaderboard_mmlu_pro_question_763 | leaderboard_mmlu_pro_question_827 | leaderboard_mmlu_pro_question_1074 | leaderboard_mmlu_pro_question_1855 | leaderboard_mmlu_pro_question_1912 | leaderboard_mmlu_pro_question_2108 | leaderboard_mmlu_pro_question_2158 | leaderboard_mmlu_pro_question_2267
prefix,which of the following statements about,50,leaderboard_gpqa_extended_question_214 | leaderboard_gpqa_main_question_397 | leaderboard_mmlu_pro_question_1099 | leaderboard_mmlu_pro_question_1306 | leaderboard_mmlu_pro_question_2137 | leaderboard_mmlu_pro_question_2147 | leaderboard_mmlu_pro_question_2312 | leaderboard_mmlu_pro_question_2335 | leaderboard_mmlu_pro_question_2637 | leaderboard_mmlu_pro_question_2701
prefix,user i am planning a company,49,PartII_question_6596 | PartII_question_10000 | PartII_question_10118 | PartII_question_10138 | PartII_question_10633 | PartII_question_11701 | PartII_question_12879 | PartII_question_14023 | PartII_question_14961 | PartII_question_19996
prefix,user i would like to book,49,PartII_question_75210 | PartII_question_75223 | PartII_question_75301 | PartII_question_75326 | PartII_question_75331 | PartII_question_75351 | PartII_question_75413 | PartII_question_75455 | PartII_question_75487 | PartII_question_75513
prefix,user i'm organizing a comedy night,49,PartII_question_5907 | PartII_question_6913 | PartII_question_10096 | PartII_question_12396 | PartII_question_14102 | PartII_question_16868 | PartII_question_18080 | PartII_question_18897 | PartII_question_19136 | PartII_question_25056
prefix,user i'm organizing a company team,49,PartII_question_2855 | PartII_question_4309 | PartII_question_4838 | PartII_question_5146 | PartII_question_11623 | PartII_question_11708 | PartII_question_15452 | PartII_question_15742 | PartII_question_16073 | PartII_question_16773
prefix,user i'm planning a game night,49,PartII_question_4560 | PartII_question_5388 | PartII_question_12603 | PartII_question_13153 | PartII_question_13772 | PartII_question_13906 | PartII_question_14915 | PartII_question_15862 | PartII_question_16343 | PartII_question_17991
prefix,user i'm writing a book about,49,PartII_question_5586 | PartII_question_7012 | PartII_question_7992 | PartII_question_8428 | PartII_question_9672 | PartII_question_12605 | PartII_question_14559 | PartII_question_15448 | PartII_question_16177 | PartII_question_20125
prefix,user my company is conducting market,49,PartII_question_2978 | PartII_question_3751 | PartII_question_7905 | PartII_question_8081 | PartII_question_8338 | PartII_question_9462 | PartII_question_10371 | PartII_question_10925 | PartII_question_11887 | PartII_question_15746
prefix,user my friend is a huge,49,PartII_question_4486 | PartII_question_4718 | PartII_question_5071 | PartII_question_5962 | PartII_question_8313 | PartII_question_8649 | PartII_question_10604 | PartII_question_11703 | PartII_question_12317 | PartII_question_17666
prefix,user could you please assist me,48,PartII_question_6045 | PartII_question_6175 | PartII_question_6749 | PartII_question_9715 | PartII_question_9836 | PartII_question_11603 | PartII_question_12394 | PartII_question_13781 | PartII_question_13943 | PartII_question_14377
prefix,user i'm curious to know the,47,PartII_question_5347 | PartII_question_5446 | PartII_question_10682 | PartII_question_13387 | PartII_question_19813 | PartII_question_22458 | PartII_question_25393 | PartII_question_26082 | PartII_question_27488 | PartII_question_28540
prefix,user i want to start a,46,PartII_question_4070 | PartII_question_5099 | PartII_question_5265 | PartII_question_10907 | PartII_question_11279 | PartII_question_15079 | PartII_question_16572 | PartII_question_17610 | PartII_question_18512 | PartII_question_22171
prefix,user i'm a language teacher and,46,PartII_question_5663 | PartII_question_7213 | PartII_question_9859 | PartII_question_9902 | PartII_question_11605 | PartII_question_12511 | PartII_question_12675 | PartII_question_14432 | PartII_question_14523 | PartII_question_15317
prefix,user i'm hosting a family gathering,46,PartII_question_9443 | PartII_question_9736 | PartII_question_11067 | PartII_question_11552 | PartII_question_12228 | PartII_question_13052 | PartII_question_15959 | PartII_question_17442 | PartII_question_18102 | PartII_question_19447
prefix,user i'm interested in exploring the,46,PartII_question_2822 | PartII_question_3143 | PartII_question_3219 | PartII_question_4573 | PartII_question_6432 | PartII_question_6783 | PartII_question_8166 | PartII_question_8251 | PartII_question_9572 | PartII_question_10414
prefix,user i am conducting a research,45,PartII_question_3857 | PartII_question_3867 | PartII_question_4810 | PartII_question_4947 | PartII_question_10854 | PartII_question_13073 | PartII_question_14299 | PartII_question_14842 | PartII_question_15871 | PartII_question_16797
prefix,user i am planning to invest,45,PartII_question_3406 | PartII_question_3438 | PartII_question_3592 | PartII_question_6021 | PartII_question_7553 | PartII_question_8344 | PartII_question_8960 | PartII_question_8978 | PartII_question_9296 | PartII_question_13331
prefix,user i want to find the,45,PartII_question_7100 | PartII_question_9375 | PartII_question_10212 | PartII_question_11074 | PartII_question_11389 | PartII_question_11541 | PartII_question_14813 | PartII_question_15622 | PartII_question_16618 | PartII_question_18959
prefix,user i'm a cryptocurrency investor and,45,PartII_question_10060 | PartII_question_10061 | PartII_question_13174 | PartII_question_13291 | PartII_question_14091 | PartII_question_14391 | PartII_question_14942 | PartII_question_14976 | PartII_question_15793 | PartII_question_17063
prefix,user i'm a frequent traveler and,45,PartII_question_3699 | PartII_question_10629 | PartII_question_13309 | PartII_question_13520 | PartII_question_14133 | PartII_question_14382 | PartII_question_14402 | PartII_question_17474 | PartII_question_18174 | PartII_question_18586
prefix,user i'm looking for a specific,45,PartII_question_6510 | PartII_question_6825 | PartII_question_11881 | PartII_question_12475 | PartII_question_18117 | PartII_question_18188 | PartII_question_19939 | PartII_question_20197 | PartII_question_20836 | PartII_question_21417
prefix,user i'm organizing a company picnic,45,PartII_question_4734 | PartII_question_7890 | PartII_question_14118 | PartII_question_15933 | PartII_question_16099 | PartII_question_17805 | PartII_question_18018 | PartII_question_18554 | PartII_question_19091 | PartII_question_19835
prefix,user i'm organizing a company wide,45,PartII_question_3578 | PartII_question_5843 | PartII_question_9301 | PartII_question_11004 | PartII_question_11306 | PartII_question_12346 | PartII_question_14159 | PartII_question_15148 | PartII_question_17961 | PartII_question_22850
prefix,user my family is interested in,45,PartII_question_2971 | PartII_question_3016 | PartII_question_4264 | PartII_question_7379 | PartII_question_8379 | PartII_question_9191 | PartII_question_9565 | PartII_question_12135 | PartII_question_12685 | PartII_question_13323
prefix,user what is the ascii code,45,PartII_question_74240 | PartII_question_74310 | PartII_question_74311 | PartII_question_74330 | PartII_question_74372 | PartII_question_74397 | PartII_question_74425 | PartII_question_74447 | PartII_question_74502 | PartII_question_74504
prefix,user what is the sum of,45,PartII_question_1968 | PartII_question_74216 | PartII_question_74265 | PartII_question_74269 | PartII_question_74271 | PartII_question_74323 | PartII_question_74355 | PartII_question_74369 | PartII_question_74409 | PartII_question_74419
prefix,user could you provide me with,44,PartII_question_3494 | PartII_question_9137 | PartII_question_10148 | PartII_question_10359 | PartII_question_10820 | PartII_question_13706 | PartII_question_15160 | PartII_question_21556 | PartII_question_21622 | PartII_question_22704
prefix,user i am writing a research,44,PartII_question_2755 | PartII_question_3167 | PartII_question_3373 | PartII_question_7980 | PartII_question_9930 | PartII_question_11635 | PartII_question_12938 | PartII_question_13301 | PartII_question_14545 | PartII_question_18506
prefix,user i'm a basketball fan and,44,PartII_question_9234 | PartII_question_9797 | PartII_question_12788 | PartII_question_12800 | PartII_question_13607 | PartII_question_14729 | PartII_question_17557 | PartII_question_18693 | PartII_question_21504 | PartII_question_21526
prefix,assume that all gases are perfect,43,leaderboard_mmlu_pro_question_430 | leaderboard_mmlu_pro_question_452 | leaderboard_mmlu_pro_question_463 | leaderboard_mmlu_pro_question_474 | leaderboard_mmlu_pro_question_497 | leaderboard_mmlu_pro_question_540 | leaderboard_mmlu_pro_question_549 | leaderboard_mmlu_pro_question_1934 | leaderboard_mmlu_pro_question_1956 | leaderboard_mmlu_pro_question_1967
prefix,user i am a researcher studying,43,PartII_question_4835 | PartII_question_5800 | PartII_question_8044 | PartII_question_12026 | PartII_question_12750 | PartII_question_18241 | PartII_question_18441 | PartII_question_25388 | PartII_question_26684 | PartII_question_28948
prefix,user i'm a stock trader and,43,PartII_question_4096 | PartII_question_4666 | PartII_question_5514 | PartII_question_6132 | PartII_question_8235 | PartII_question_12054 | PartII_question_12210 | PartII_question_12526 | PartII_question_14210 | PartII_question_22926
prefix,user i'm organizing a fundraising event,43,PartII_question_3731 | PartII_question_4673 | PartII_question_5037 | PartII_question_8290 | PartII_question_12211 | PartII_question_14325 | PartII_question_15476 | PartII_question_15778 | PartII_question_17712 | PartII_question_17940
prefix,user i am planning to start,42,PartII_question_3293 | PartII_question_3829 | PartII_question_10133 | PartII_question_10714 | PartII_question_13505 | PartII_question_15945 | PartII_question_16225 | PartII_question_19046 | PartII_question_23600 | PartII_question_24371
prefix,user i'm a student and i'm,42,PartII_question_4237 | PartII_question_6417 | PartII_question_9522 | PartII_question_11065 | PartII_question_11939 | PartII_question_12637 | PartII_question_14287 | PartII_question_15474 | PartII_question_19659 | PartII_question_21354
prefix,user i'm feeling a bit down,42,PartII_question_2803 | PartII_question_2875 | PartII_question_3979 | PartII_question_4341 | PartII_question_4875 | PartII_question_8508 | PartII_question_9995 | PartII_question_11568 | PartII_question_14117 | PartII_question_14493
prefix,user i'm writing a book on,42,PartII_question_3603 | PartII_question_7428 | PartII_question_10119 | PartII_question_13593 | PartII_question_18905 | PartII_question_20883 | PartII_question_21075 | PartII_question_21688 | PartII_question_22084 | PartII_question_24772
prefix,user what is the reverse order,42,PartII_question_74210 | PartII_question_74220 | PartII_question_74254 | PartII_question_74280 | PartII_question_74285 | PartII_question_74316 | PartII_question_74351 | PartII_question_74362 | PartII_question_74382 | PartII_question_74391
prefix,user i need to organize a,41,PartII_question_3931 | PartII_question_6911 | PartII_question_8076 | PartII_question_8208 | PartII_question_8256 | PartII_question_9837 | PartII_question_10763 | PartII_question_13204 | PartII_question_14060 | PartII_question_15481
prefix,user i want to know more,41,PartII_question_4770 | PartII_question_6041 | PartII_question_6217 | PartII_question_12528 | PartII_question_19866 | PartII_question_21246 | PartII_question_21408 | PartII_question_23563 | PartII_question_25124 | PartII_question_25528
prefix,user i'm a crypto enthusiast and,41,PartII_question_6815 | PartII_question_7483 | PartII_question_7843 | PartII_question_8148 | PartII_question_12409 | PartII_question_14016 | PartII_question_16440 | PartII_question_17939 | PartII_question_18759 | PartII_question_19624
prefix,user i'm a football fan and,41,PartII_question_3526 | PartII_question_7068 | PartII_question_9586 | PartII_question_10584 | PartII_question_12009 | PartII_question_12686 | PartII_question_12710 | PartII_question_14092 | PartII_question_16321 | PartII_question_18992
prefix,user i'm a student and i,41,PartII_question_4262 | PartII_question_4769 | PartII_question_7023 | PartII_question_7587 | PartII_question_9073 | PartII_question_13069 | PartII_question_27911 | PartII_question_28402 | PartII_question_28675 | PartII_question_29446
prefix,user i'm interested in investing in,41,PartII_question_2943 | PartII_question_4226 | PartII_question_4340 | PartII_question_5317 | PartII_question_8577 | PartII_question_13175 | PartII_question_14274 | PartII_question_14654 | PartII_question_15759 | PartII_question_17996
prefix,user i'm organizing a gaming event,41,PartII_question_3380 | PartII_question_3576 | PartII_question_5354 | PartII_question_7566 | PartII_question_8300 | PartII_question_8559 | PartII_question_9887 | PartII_question_14041 | PartII_question_16862 | PartII_question_17953
prefix,which of the following is true,41,leaderboard_gpqa_extended_question_475 | leaderboard_mmlu_pro_question_301 | leaderboard_mmlu_pro_question_741 | leaderboard_mmlu_pro_question_2143 | leaderboard_mmlu_pro_question_2252 | leaderboard_mmlu_pro_question_2283 | leaderboard_mmlu_pro_question_2346 | leaderboard_mmlu_pro_question_2394 | leaderboard_mmlu_pro_question_3764 | leaderboard_mmlu_pro_question_3828
prefix,user i'm a music teacher and,40,PartII_question_4426 | PartII_question_6305 | PartII_question_6352 | PartII_question_7831 | PartII_question_8715 | PartII_question_9402 | PartII_question_11535 | PartII_question_13915 | PartII_question_19073 | PartII_question_20792
prefix,user i'm a wedding planner and,40,PartII_question_3956 | PartII_question_4752 | PartII_question_6187 | PartII_question_6773 | PartII_question_8275 | PartII_question_9199 | PartII_question_9300 | PartII_question_9587 | PartII_question_12755 | PartII_question_13030
prefix,user i'm interested in buying a,40,PartII_question_2970 | PartII_question_3139 | PartII_question_7417 | PartII_question_10421 | PartII_question_10916 | PartII_question_11698 | PartII_question_12130 | PartII_question_13590 | PartII_question_19062 | PartII_question_21585
prefix,user i'm interested in learning about,40,PartII_question_5892 | PartII_question_6158 | PartII_question_6365 | PartII_question_7373 | PartII_question_8742 | PartII_question_14139 | PartII_question_14413 | PartII_question_14798 | PartII_question_16825 | PartII_question_18831
prefix,user i'm organizing a virtual conference,40,PartII_question_8277 | PartII_question_12062 | PartII_question_17421 | PartII_question_20010 | PartII_question_20315 | PartII_question_20833 | PartII_question_21053 | PartII_question_23832 | PartII_question_24584 | PartII_question_25525
prefix,user i'm planning a surprise date,40,PartII_question_10810 | PartII_question_11662 | PartII_question_11867 | PartII_question_12581 | PartII_question_12936 | PartII_question_13595 | PartII_question_14460 | PartII_question_17710 | PartII_question_22803 | PartII_question_24180
prefix,user i'm planning a trip and,40,PartII_question_3040 | PartII_question_3332 | PartII_question_3376 | PartII_question_3405 | PartII_question_4776 | PartII_question_5379 | PartII_question_13578 | PartII_question_15416 | PartII_question_16071 | PartII_question_17841
prefix,user i am a student studying,39,PartII_question_3772 | PartII_question_4155 | PartII_question_5618 | PartII_question_7936 | PartII_question_14212 | PartII_question_15054 | PartII_question_16046 | PartII_question_20321 | PartII_question_25000 | PartII_question_25529
prefix,user i am organizing a family,39,PartII_question_5107 | PartII_question_5556 | PartII_question_8066 | PartII_question_9982 | PartII_question_10417 | PartII_question_11793 | PartII_question_12607 | PartII_question_17059 | PartII_question_23392 | PartII_question_24833
prefix,user i want to download a,39,PartII_question_3673 | PartII_question_3994 | PartII_question_5823 | PartII_question_6151 | PartII_question_7600 | PartII_question_7854 | PartII_question_7855 | PartII_question_8681 | PartII_question_16959 | PartII_question_17507
prefix,user i'm a tech enthusiast and,39,PartII_question_5316 | PartII_question_6914 | PartII_question_7673 | PartII_question_12329 | PartII_question_14671 | PartII_question_16845 | PartII_question_20282 | PartII_question_21739 | PartII_question_25409 | PartII_question_25443
prefix,user i'm a writer working on,39,PartII_question_6534 | PartII_question_6841 | PartII_question_7066 | PartII_question_10497 | PartII_question_15291 | PartII_question_20546 | PartII_question_20774 | PartII_question_21960 | PartII_question_23854 | PartII_question_26437
prefix,user i'm organizing a karaoke night,39,PartII_question_3937 | PartII_question_8827 | PartII_question_9882 | PartII_question_11684 | PartII_question_13751 | PartII_question_13808 | PartII_question_14552 | PartII_question_16704 | PartII_question_17128 | PartII_question_18157
prefix,user i'm planning a basketball themed,39,PartII_question_6124 | PartII_question_6745 | PartII_question_8497 | PartII_question_12562 | PartII_question_12739 | PartII_question_14711 | PartII_question_19596 | PartII_question_19775 | PartII_question_19846 | PartII_question_20046
prefix,user what is the binary code,39,PartII_question_74214 | PartII_question_74221 | PartII_question_74262 | PartII_question_74374 | PartII_question_74375 | PartII_question_74383 | PartII_question_74416 | PartII_question_74418 | PartII_question_74432 | PartII_question_74460
prefix,user i am planning a beach,38,PartII_question_6306 | PartII_question_11986 | PartII_question_13194 | PartII_question_14043 | PartII_question_14840 | PartII_question_18379 | PartII_question_18887 | PartII_question_19087 | PartII_question_19621 | PartII_question_20618
prefix,user i want to buy a,38,PartII_question_3170 | PartII_question_3771 | PartII_question_9219 | PartII_question_12832 | PartII_question_13296 | PartII_question_14167 | PartII_question_23173 | PartII_question_29909 | PartII_question_34489 | PartII_question_36157
prefix,user i'm organizing a workshop on,38,PartII_question_2692 | PartII_question_3279 | PartII_question_4399 | PartII_question_7429 | PartII_question_9105 | PartII_question_9202 | PartII_question_10940 | PartII_question_13067 | PartII_question_16123 | PartII_question_16860
prefix,user i'm planning to create a,38,PartII_question_6040 | PartII_question_6140 | PartII_question_8021 | PartII_question_10198 | PartII_question_13040 | PartII_question_15273 | PartII_question_24392 | PartII_question_28775 | PartII_question_29972 | PartII_question_30922
prefix,user i'm a business owner and,37,PartII_question_4612 | PartII_question_5481 | PartII_question_6400 | PartII_question_10666 | PartII_question_11226 | PartII_question_11594 | PartII_question_12790 | PartII_question_15136 | PartII_question_17233 | PartII_question_20076
prefix,user i'm developing a language learning,37,PartII_question_4106 | PartII_question_4274 | PartII_question_4450 | PartII_question_5640 | PartII_question_8611 | PartII_question_9543 | PartII_question_14494 | PartII_question_19096 | PartII_question_20411 | PartII_question_21740
prefix,user can you help me delete,36,PartII_question_72 | PartII_question_73 | PartII_question_96 | PartII_question_97 | PartII_question_125 | PartII_question_126 | PartII_question_203 | PartII_question_204 | PartII_question_236 | PartII_question_237
prefix,user can you tell me the,36,PartII_question_23 | PartII_question_24 | PartII_question_25 | PartII_question_26 | PartII_question_27 | PartII_question_74 | PartII_question_75 | PartII_question_76 | PartII_question_77 | PartII_question_121
prefix,user i need to fetch the,36,PartII_question_4971 | PartII_question_6370 | PartII_question_6652 | PartII_question_8181 | PartII_question_9071 | PartII_question_10929 | PartII_question_14584 | PartII_question_24320 | PartII_question_26674 | PartII_question_27723
prefix,user i recently moved to a,36,PartII_question_5574 | PartII_question_6969 | PartII_question_8587 | PartII_question_9785 | PartII_question_10743 | PartII_question_11289 | PartII_question_12180 | PartII_question_23215 | PartII_question_23703 | PartII_question_23841
prefix,user i recently started a new,36,PartII_question_3312 | PartII_question_5611 | PartII_question_6256 | PartII_question_7683 | PartII_question_10707 | PartII_question_11653 | PartII_question_12896 | PartII_question_14576 | PartII_question_16485 | PartII_question_17966
prefix,user i would like to check,36,MTU_MSTS_question_26 | MTU_MSTS_question_27 | MTU_MSTS_question_28 | MTU_MSTS_question_29 | MTU_MSTS_question_30 | MTU_MSTS_question_131 | PartII_question_4505 | PartII_question_6569 | PartII_question_13143 | PartII_question_18002
prefix,user i'm feeling down and need,36,PartII_question_5067 | PartII_question_6649 | PartII_question_9287 | PartII_question_13349 | PartII_question_13802 | PartII_question_13807 | PartII_question_15589 | PartII_question_17830 | PartII_question_18889 | PartII_question_20793
prefix,user i'm organizing a climate change,36,PartII_question_3098 | PartII_question_4125 | PartII_question_9092 | PartII_question_9187 | PartII_question_9904 | PartII_question_10383 | PartII_question_10510 | PartII_question_13121 | PartII_question_15104 | PartII_question_17272
prefix,user i'm working on a personal,36,PartII_question_3878 | PartII_question_5553 | PartII_question_7665 | PartII_question_7979 | PartII_question_11798 | PartII_question_12786 | PartII_question_14503 | PartII_question_14904 | PartII_question_20212 | PartII_question_21228
prefix,user please provide me with a,36,PartII_question_6163 | PartII_question_7736 | PartII_question_14594 | PartII_question_17088 | PartII_question_18128 | PartII_question_20102 | PartII_question_22865 | PartII_question_26220 | PartII_question_31867 | PartII_question_34474
prefix,select the best translation into predicate,35,leaderboard_mmlu_pro_question_1321 | leaderboard_mmlu_pro_question_1336 | leaderboard_mmlu_pro_question_1347 | leaderboard_mmlu_pro_question_1363 | leaderboard_mmlu_pro_question_2825 | leaderboard_mmlu_pro_question_2856 | leaderboard_mmlu_pro_question_2867 | leaderboard_mmlu_pro_question_4333 | leaderboard_mmlu_pro_question_4344 | leaderboard_mmlu_pro_question_4350
